,name,hx,route_zx_dis,fzxxs_base,fzxxs_hx
12,1201路(淞沪路殷行路--淞沪路殷行路),10.249315606348645,0.05357234322815069,0.0,1.203284756016499
13,1212路(闸殷路军工路(闸殷路停车场)--闸殷路军工路),8.187864592196254,0.0,0.0,1.2651136097501943
14,1213路(世界路国和路--世界路国和路),9.990348547831003,0.05202844227981686,0.0,1.3224999833135418
15,1215路(靖宇南路控江路--靖宇南路控江路),9.522388525764498,0.001436210769463547,0.0,1.1780581561749057
16,1218路(国权北路国政路--淞沪路殷行路),5.450498738652206,0.9053785987077977,0.0,1.1594879276645689
17,1218路(淞沪路殷行路--国权北路国政路),5.170104852968895,0.8991088922071095,0.0,1.114749423031514
18,1226路(淞沪路殷行路--淞沪路殷行路),12.704766079889732,0.05357234322815069,0.0,1.1334573511301995
19,1228路(淞沪路殷行路--淞沪路殷行路),8.283673998834349,0.003457040235074014,0.0,1.2252650673585517
26,1253路(新江湾城(世界路)--新江湾城(世界路)),7.071701457276622,0.0,0.0,1.2298299716236472
27,1255路环线(淞沪路殷行路--淞沪路殷行路),30.59151709831069,0.01347312848322918,0.0,3.1978506668455613
28,1256路(淞沪路殷行路--淞沪路殷行路),10.97523878684376,0.021539346686187563,0.0,1.3302747776434336
39,147路(临江码头--临江码头),28.738206977938425,0.018624708879167555,0.0,1.1592605789610784
50,195路(军工路翔殷路--军工路翔殷路),7.0802640344349195,0.007025989179107701,0.0,1.3551773984923963
186,DZ108线(军工路松花江路--军工路松花江路),6.3515214059558165,0.041171417674277275,0.0,1.247017900930481
188,DZ118线(天章路秦皇岛路--天章路秦皇岛路),12.876924757671327,0.03617809947283688,0.0,1.1503493800777724
191,共青森林公园定制班线(中原路8号线(市光路)--中原路8号线(市光路)),5.273392578098601,0.0,0.0,1.3515425847323577
