,name,hx,route_zx_dis,fzxxs_base
0,100路(吉浦路仁德路--吴淞路天潼路),12.44595029466729,7.66157309326496,1.624464081091665
1,100路(吴淞路天潼路--吉浦路仁德路),12.601789854258216,7.621088397928979,1.6535420134586993
2,102路(嫩江码头--安波路营口路),4.0229021324431535,3.2096936018853888,1.2533601743419005
3,102路(安波路营口路--嫩江码头),4.272468332487416,3.224525342939564,1.324991395041268
4,103路(天通庵路同心路--黎平路杨树浦路),17.4463536836231,9.135437663105087,1.9097447026630117
5,103路(黎平路杨树浦路--天通庵路同心路),19.066981011861053,9.132052886903633,2.0879183736665823
6,115路(平江小区--松花江路延吉东路),17.4498083169397,12.07513886422748,1.4451020823151477
7,115路(松花江路延吉东路--平江小区),16.221216427015023,12.053570438403378,1.3457602881991946
8,116路(宝杨码头--曲阳新村),23.421496453184382,16.531099415895625,1.4168142035770008
9,116路(曲阳新村--宝杨码头),21.153364722564834,16.530844921320252,1.2796299779742535
10,118路(一二八纪念路阳曲路--安图路松花江路),16.717003776111188,9.684790996092918,1.7261088838009242
11,118路(安图路松花江路--一二八纪念路阳曲路),16.306625847131283,9.703227838408365,1.6805362214194985
20,1238路(国顺东路翔殷路--黎平路杨树浦路),6.809414573093916,4.557908265495494,1.4939779777146651
21,1238路(黎平路杨树浦路--国顺东路翔殷路),6.26443633944253,4.572332258033984,1.3700746109242985
22,123路(人民广场--巴林路伊敏河路),11.956198702297216,8.295670483796357,1.4412576687623793
23,123路(巴林路伊敏河路--人民广场),11.602635575306946,8.280374130403588,1.4012211758288546
24,124路(开鲁路世界路--黎平路杨树浦路),10.545107871930103,7.434041990732648,1.4184891456189972
25,124路(黎平路杨树浦路--开鲁路世界路),9.93302695184254,7.430373145446311,1.3368140142369533
29,133路(凉城路丰镇路--国顺东路沙岗路),10.492485995034107,7.338331192354269,1.4298190855662278
30,133路(国顺东路沙岗路--凉城路丰镇路),12.057186687424533,7.3372228978136445,1.6432902278350232
31,135路(杨树浦路黎平路--老西门),12.659287589168608,10.70032065894104,1.1830755350860147
32,135路(老西门--杨树浦路黎平路),13.368869104919494,10.697900229624985,1.24967225511208
33,137路(天章路秦皇岛路--市光新村(包头路)),12.800774261355592,9.627381561520325,1.3296215777422802
34,137路(市光新村(包头路)--天章路秦皇岛路),15.010054229878662,9.606790384154246,1.5624421507766773
35,139路(嫩江路白城路--虹口足球场(花园路)),11.044068675993277,9.108213947515555,1.212539444026319
36,139路(虹口足球场(花园路)--嫩江路白城路),10.695822941861785,9.051218758065145,1.1816997498078592
37,142路(军工路松花江路--凉城路广灵四路),10.784393769112855,8.510075525600106,1.2672500657216401
38,142路(凉城路广灵四路--军工路松花江路),11.623755800848574,8.522586276520531,1.3638765773333
40,14路(东新桥--江浦路中山北二路),10.295852144451148,7.492384727752064,1.374175582083357
41,14路(江浦路中山北二路--东新桥),13.063935964505827,7.560884898301383,1.7278316149794517
42,155路(昆明路海门路--栖山路巨野路),13.471214076083832,4.530563579809302,2.9734080184017317
43,155路(栖山路巨野路--昆明路海门路),14.601073723193235,4.5306749441635334,3.222714916240571
44,168路(国江路淞行路--复旦大学),9.247558701909206,6.241679007175707,1.4815819094954754
45,168路(复旦大学--国江路淞行路),9.328769215771631,6.143967482479845,1.518362400578059
46,17路(卢浦大桥--唐山路通北路),14.414826540977574,9.987915868365286,1.443226668201485
47,17路(唐山路通北路--卢浦大桥),16.40569815333416,9.968059742175864,1.6458266280166842
48,187路(乾溪新村--政立路恒仁路),14.024841851587608,13.299218025839524,1.0545613903267277
49,187路(政立路恒仁路--乾溪新村),14.521793441535584,13.299978416733515,1.0918659404187325
51,19路(唐山路通北路--普陀路江宁路),11.941628703940495,8.57037010116925,1.3933620792305466
52,19路(普陀路江宁路--唐山路通北路),12.747515581444514,8.590516431987846,1.4839056164280846
53,220路(松花江路延吉东路--老西门),15.155722002018253,12.014749253216928,1.2614264087084743
54,220路(老西门--松花江路延吉东路),15.012626881956983,11.897238518438185,1.2618581075508077
55,22路(长白路图们路--闵行路长治路),10.13336800783365,8.368188795513818,1.2109392194002773
56,22路(闵行路长治路--长白路图们路),9.935394574255808,8.37772009745552,1.1859305943240317
57,25路(南崇明路--平凉路军工路),12.515367050902348,9.244047341208473,1.3538839199915018
58,25路(平凉路军工路--南崇明路),12.312107100826493,9.275194455004321,1.3274230702714422
59,28路(包头路嫩江路--提篮桥),13.303771047125657,8.68797004026984,1.5312864783673281
60,28路(提篮桥--包头路嫩江路),13.822154509773059,8.692293712079863,1.5901619259096273
61,302路(上海火车站(南广场)--宝山巴士),27.379442675928225,18.857803326341337,1.4518892896546185
62,302路(宝山巴士--上海火车站(南广场)),27.343642451966957,18.80072532527881,1.4543929544676468
63,307路(中山东二路新开河路--新江湾城(世界路)),16.00164356548991,13.217784509354082,1.2106146498428478
64,307路(新江湾城(世界路)--中山东二路新开河路),16.182984207031442,13.231153083336324,1.2230970426464747
65,308路(上海火车站(南广场)--松花江路延吉东路),14.642056356842971,11.664739616841903,1.2552407372816388
66,308路(松花江路延吉东路--上海火车站(南广场)),14.6206173406319,11.74809190403618,1.2445099561749968
67,310路(上海火车站(北广场)--兰州路杨树浦路),16.456593369024446,8.773752997820187,1.8756618032343784
68,310路(兰州路杨树浦路--上海火车站(北广场)),15.469928392746628,8.547066188115185,1.8099694155004649
69,317路(中山东二路新开河路--平凉路军工路),13.287566990341638,9.459758936813182,1.404641183680942
70,317路(平凉路军工路--中山东二路新开河路),12.945629153808936,9.452678870215433,1.3695196178301883
71,329路(上海火车站(南广场)--工农新村),20.004890873170343,13.852939135847398,1.4440899997462253
72,329路(工农新村--上海火车站(南广场)),20.090059116117875,13.872592797691585,1.4481834368742434
73,330路(中山公园--扬州路齐齐哈尔路),15.261425308528455,12.94777401928946,1.1786910464912457
74,330路(扬州路齐齐哈尔路--中山公园),15.01980527713684,12.969640914604255,1.1580741036726798
75,33路(中山东二路新开河路--军工路长阳路),13.016480073127514,9.867046211575142,1.319187099565596
76,33路(军工路长阳路--中山东二路新开河路),13.720937228011767,9.854569274348005,1.3923426631875362
77,37路(愚园路胶州路--扬州路齐齐哈尔路),12.314017692533083,10.324247609122585,1.192727853761694
78,37路(扬州路齐齐哈尔路--愚园路胶州路),12.431641627310519,10.311923001686196,1.20555997414621
79,405路(博兴路柳埠路--曲阳路玉田路),20.681144910826212,10.558055150383076,1.9588025082513272
80,405路(曲阳路玉田路--博兴路柳埠路),22.242851650652756,10.572026583140975,2.103934517732205
81,406路(东靖路金京路--国定路政立路),21.845785733912017,12.698000018380208,1.720411537430343
82,406路(国定路政立路--东靖路金京路),22.272169833107743,12.699033295301643,1.7538476603056035
83,453路(五角场(翔殷路)--港城路地铁站),20.45821456909695,9.079946675687848,2.253120563348148
84,453路(港城路地铁站--五角场(翔殷路)),21.56954031852566,9.152617589128747,2.3566526306250823
85,502路(淞南十村(通南路)--虹口足球场),13.989986105676579,8.539485833151035,1.6382703102997398
86,502路(虹口足球场--淞南十村(通南路)),13.771365654916742,8.541215974924008,1.6123425160243965
87,51路(人民广场(武胜路)--宝杨码头),28.92880312487773,23.39250088429778,1.2366699596577206
88,51路(宝杨码头--人民广场(武胜路)),27.48876497516366,23.361854864668878,1.176651645787599
89,52路(吴淞煤气厂--塘沽路乍浦路),18.493357140326967,13.099465818947094,1.4117642196965114
90,52路(塘沽路乍浦路--吴淞煤气厂),16.305118547267792,13.099465818947094,1.244716293979258
91,537路(开鲁路白城路--老西门),22.443966405627798,15.109790428958407,1.4853923031661116
92,537路(老西门--开鲁路白城路),22.21778408523239,15.148449863885524,1.466670470237382
93,538路(松潘路杨树浦路--淞沪路殷行路),15.662186487355441,9.936713883468324,1.5761937669768842
94,538路(淞沪路殷行路--松潘路杨树浦路),17.25294324694892,9.939398952782266,1.7358135365035754
95,552路(呼玛路共和新路--曲阳新村),18.99702278342285,9.294577054377552,2.043882435131962
96,552路(曲阳新村--呼玛路共和新路),18.249625315870112,9.230324638611165,1.9771379697232436
97,559路(虬江码头--青石路国权北路),12.70427575735459,7.0604226009691295,1.799364779611177
98,559路(青石路国权北路--虬江码头),13.189942949331245,7.059459652793147,1.8684068750378806
99,55路(南浦大桥--新江湾城(世界路)),19.658608937642065,15.794198461932957,1.2446727819093242
100,55路(新江湾城(世界路)--南浦大桥),21.43204567703105,15.785224601019626,1.3577282692351855
101,55路大站车(早高峰)(南浦大桥--新江湾城(世界路)),19.421626690937977,15.797983032371105,1.2293738163373
102,55路大站车(早高峰)(新江湾城(世界路)--南浦大桥),19.398861956102785,15.79747002348435,1.227972702417833
103,55路大站车(晚高峰)(南浦大桥--新江湾城(世界路)),19.380365396700114,15.795303226177223,1.226970139109545
104,55路大站车(晚高峰)(新江湾城(世界路)--南浦大桥),18.778590653145404,15.795462539081347,1.1888598138030564
105,576路(曲阳路玉田路--芦恒路枢纽站),31.17557717052622,21.08304893200414,1.4787034489685023
106,576路(芦恒路枢纽站--曲阳路玉田路),30.348336090940393,21.15533045089426,1.4345479576121456
107,577路(复兴岛--开鲁路中原路),14.626526074680369,5.621310131070809,2.6019781391947765
108,577路(开鲁路中原路--复兴岛),15.925568998231629,5.629986064563112,2.828704869888067
109,597路(东方路张杨路--彭浦新村(景凤路)),18.894612526107064,13.735768875425675,1.3755773482699574
110,597路(彭浦新村(景凤路)--东方路张杨路),20.119633463682323,13.797761474524934,1.4581809883313013
