,name,hx
8,116路(宝杨码头--曲阳新村),0.807637808730496
168,934路(普安路延安东路--国顺东路翔殷支路),0.8079228796551906
159,871路(西营路成山路--锦西路打虎山路),0.8092887024679513
99,55路(南浦大桥--新江湾城(世界路)),0.819108705735086
177,966路(万航渡路长寿路--市光新村),0.8191149350319814
109,597路(东方路张杨路--彭浦新村(景凤路)),0.8215048924394376
36,139路(虹口足球场(花园路)--嫩江路白城路),0.822755610912445
79,405路(博兴路柳埠路--曲阳路玉田路),0.8272457964330485
25,124路(黎平路杨树浦路--开鲁路世界路),0.8277522459868784
19,1228路(淞沪路殷行路--淞沪路殷行路),0.8283673998834349
144,819路(吉浦路仁德路--东绣路锦和路),0.8300707765579479
134,758路(政立路市光路--原平路阳城路),0.8326400093985251
153,854路(东长治路公平路枢纽站--市光新村(包头路)),0.833669579507496
32,135路(老西门--杨树浦路黎平路),0.8355543190574684
155,868路(中山东二路新开河路枢纽--白城路民星路),0.8357309068632779
162,874路(枣庄路张杨路--三门路安汾路),0.8364118919648909
126,726路(安波路营口路--三泉路保德路),0.8377197570287648
142,813路(杨浦大桥--宝山),0.8377221192133256
53,220路(松花江路延吉东路--老西门),0.8419845556676807
35,139路(嫩江路白城路--虹口足球场(花园路)),0.8495437443071752
83,453路(五角场(翔殷路)--港城路地铁站),0.8524256070457062
160,871路(锦西路打虎山路--西营路成山路),0.8528733220707446
3,102路(安波路营口路--嫩江码头),0.8544936664974833
76,33路(军工路长阳路--中山东二路新开河路),0.8575585767507354
125,726路(三泉路保德路--安波路营口路),0.85977258714775
15,1215路(靖宇南路控江路--靖宇南路控江路),0.865671684160409
75,33路(中山东二路新开河路--军工路长阳路),0.867765338208501
111,59路(凉城路广灵四路--杨高中路民生路),0.8728817887945803
116,61路(政悦路国伟路--吴淞路天潼路),0.8764299499740996
24,124路(开鲁路世界路--黎平路杨树浦路),0.8787589893275086
77,37路(愚园路胶州路--扬州路齐齐哈尔路),0.8795726923237916
165,90路(淞宝路淞青路--靖宇南路控江路),0.8806678109985262
141,813路(宝山--杨浦大桥),0.8808451548997087
171,942路(上海火车站(北广场)--殷行路中原路),0.8839077777431298
26,1253路(新江湾城(世界路)--新江湾城(世界路)),0.8839626821595777
161,874路(三门路安汾路--枣庄路张杨路),0.888427452170235
80,405路(曲阳路玉田路--博兴路柳埠路),0.8897140660261103
143,819路(东绣路锦和路--吉浦路仁德路),0.8930500805424894
38,142路(凉城路广灵四路--军工路松花江路),0.8941350616037365
172,942路(殷行路中原路--上海火车站(北广场)),0.8948713997882961
128,746路(花木新村--大柏树(东体育会路)),0.8990057435430264
